Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
ndamukong-suh-signed-tampa-bay-red-football-jersey-beckett,Ndamukong Suh Signed Tampa Bay Red Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Ndamukong Suh and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Ndamukong Suh and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"Buccaneers, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12543,907.1989147615625,shopify,16,deny,manual,85.00,119.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_51c3e7d3-a161-4c6a-a96f-30aa605c06f7.jpg?v=1762270688,1,"",false,,,,,,,,oz,,55.00,true,,,draft
ndamukong-suh-signed-tampa-bay-grey-football-jersey-beckett,Ndamukong Suh Signed Tampa Bay Grey Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Ndamukong Suh and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Ndamukong Suh and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"Buccaneers, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12531,907.1989147615625,shopify,15,deny,manual,85.00,119.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_704e80cc-2bd5-4b9d-b76a-a56a10a60838.jpg?v=1762270684,1,"",false,,,,,,,,oz,,55.00,true,,,draft
ndamukong-suh-signed-nebraska-college-red-football-jersey-beckett,Ndamukong Suh Signed Nebraska College Red Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Ndamukong Suh and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Ndamukong Suh and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"Cornhuskers, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12532,907.1989147615625,shopify,24,deny,manual,85.00,119.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_ced8125d-ba5a-4741-b3e1-ec7f874ba2b6.jpg?v=1762270680,1,"",false,,,,,,,,oz,,55.00,true,,,draft
ndamukong-suh-signed-detroit-light-blue-football-jersey-beckett,Ndamukong Suh Signed Detroit Light Blue Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Ndamukong Suh and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Ndamukong Suh and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"FB, imported, inhouse, jersey, Lions, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12530,907.1989147615625,shopify,75,deny,manual,85.00,119.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_0518b050-b6ce-47ee-8001-1be84e8edd90.jpg?v=1762270676,1,"",false,,,,,,,,oz,,55.00,true,,,draft
mark-seay-signed-san-diego-navy-football-jersey-jsa,Mark Seay Signed San Diego Navy Football Jersey (JSA),"<p>This custom stitched football jersey has been personally hand signed by Mark Seay and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Mark Seay and authenticated by JSA</li>
<li>Includes a tamper-proof authentication sticker from JSA</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"Chargers, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12526,907.1989147615625,shopify,25,deny,manual,0.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_2bd34d6e-4032-4c2f-aadb-0fd950ae7263.jpg?v=1762270667,1,"",false,,,,,,,,oz,,,true,,,draft
dan-hampton-signed-chicago-navy-football-jersey-beckett,Dan Hampton Signed Chicago Navy Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Dan Hampton and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Dan Hampton and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"Bears, FB, imported, inhouse, jersey, MYS_HOF, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12544,907.1989147615625,shopify,34,deny,manual,0.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_e9314faf-496f-40e7-9f24-88d1355859b3.jpg?v=1762270624,1,"",false,,,,,,,,oz,,,true,,,draft
aidan-hutchinson-signed-authentic-detroit-lions-xxl-nike-football-jersey-beckett,Aidan Hutchinson Signed Authentic Detroit Lions XXL Nike Football Jersey (Beckett),"<p>This authentic football jersey has been personally hand signed by Aidan Hutchinson and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Aidan Hutchinson and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"FB, imported, inhouse, jersey, Lions, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12540,907.1989147615625,shopify,6,deny,manual,0.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_d55cb73a-8823-48a7-9f5e-ae87a0ef2359.jpg?v=1762270581,1,"",false,,,,,,,,oz,,,true,,,draft
aidan-hutchinson-signed-authentic-detroit-lions-medium-nike-football-jersey-beckett,Aidan Hutchinson Signed Authentic Detroit Lions Medium Nike Football Jersey (Beckett),"<p>This authentic football jersey has been personally hand signed by Aidan Hutchinson and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Aidan Hutchinson and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"FB, imported, inhouse, jersey, Lions, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12542,907.1989147615625,shopify,2,deny,manual,0.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_bec3e4a1-ef9d-4a31-b3fd-80e8611337c4.jpg?v=1762270577,1,"",false,,,,,,,,oz,,,true,,,draft
tajh-boyd-signed-new-york-white-football-jersey-jsa,Tajh Boyd Signed New York White Football Jersey (JSA),"<p>This custom stitched football jersey has been personally hand signed by Tajh Boyd and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Tajh Boyd and authenticated by JSA</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from JSA</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"FB, imported, inhouse, jersey, Jets, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12448,0.0,shopify,5,deny,manual,0.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_1901868a-7d29-41ea-bace-d2c709ebebb4.jpg?v=1762186077,1,"",false,,,,,,,,oz,,,true,,,draft
ozzie-newsome-signed-hof-99-inscription-cleveland-orange-football-jersey-jsa,Ozzie Newsome Signed HOF 99 Inscription Cleveland Orange Football Jersey (JSA),"<p>This custom stitched football jersey has been personally hand signed by Ozzie Newsome and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Ozzie Newsome with HOF 99 inscription and authenticated by JSA</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from JSA</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"Browns, FB, imported, inhouse, jersey, MYS_HOF, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12447,0.0,shopify,12,deny,manual,50.00,69.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_88cbc508-961e-42e7-9b9f-50a41762c4f2.jpg?v=1762186072,1,"",false,,,,,,,,oz,,25.00,true,,,draft
